perturbation,rank,x_px,y_px,x_frac,y_frac,value,image_width,image_height
clean,1,462,379,0.516201,0.675579,1.0,896,562
clean,2,461,379,0.515084,0.675579,1.0,896,562
clean,3,463,379,0.517318,0.675579,0.992064,896,562
clean,4,460,379,0.513966,0.675579,0.988095,896,562
clean,5,461,378,0.515084,0.673797,0.988095,896,562
clean,6,462,378,0.516201,0.673797,0.988095,896,562
clean,7,461,380,0.515084,0.677362,0.984127,896,562
clean,8,462,380,0.516201,0.677362,0.984127,896,562
clean,9,464,379,0.518436,0.675579,0.984127,896,562
clean,10,463,378,0.517318,0.673797,0.980159,896,562
weather_fog_mild,1,294,378,0.328492,0.673797,1.0,896,562
weather_fog_mild,2,294,379,0.328492,0.675579,1.0,896,562
weather_fog_mild,3,294,377,0.328492,0.672014,0.996047,896,562
weather_fog_mild,4,294,376,0.328492,0.670232,0.996047,896,562
weather_fog_mild,5,294,374,0.328492,0.666667,0.992095,896,562
weather_fog_mild,6,293,379,0.327374,0.675579,0.992095,896,562
weather_fog_mild,7,293,378,0.327374,0.673797,0.992095,896,562
weather_fog_mild,8,294,373,0.328492,0.664884,0.992095,896,562
weather_fog_mild,9,294,375,0.328492,0.668449,0.992095,896,562
weather_fog_mild,10,294,371,0.328492,0.661319,0.988142,896,562
weather_fog_dense,1,462,379,0.516201,0.675579,1.0,896,562
weather_fog_dense,2,461,379,0.515084,0.675579,0.996032,896,562
weather_fog_dense,3,463,379,0.517318,0.675579,0.992064,896,562
weather_fog_dense,4,462,378,0.516201,0.673797,0.988095,896,562
weather_fog_dense,5,461,378,0.515084,0.673797,0.984127,896,562
weather_fog_dense,6,464,379,0.518436,0.675579,0.984127,896,562
weather_fog_dense,7,460,379,0.513966,0.675579,0.984127,896,562
weather_fog_dense,8,463,378,0.517318,0.673797,0.980159,896,562
weather_fog_dense,9,462,380,0.516201,0.677362,0.976191,896,562
weather_fog_dense,10,460,378,0.513966,0.673797,0.972222,896,562
weather_rain_streaks,1,98,379,0.109497,0.675579,1.0,896,562
weather_rain_streaks,2,97,379,0.10838,0.675579,0.995984,896,562
weather_rain_streaks,3,461,379,0.515084,0.675579,0.983936,896,562
weather_rain_streaks,4,460,379,0.513966,0.675579,0.97992,896,562
weather_rain_streaks,5,98,378,0.109497,0.673797,0.97992,896,562
weather_rain_streaks,6,462,379,0.516201,0.675579,0.97992,896,562
weather_rain_streaks,7,98,380,0.109497,0.677362,0.975904,896,562
weather_rain_streaks,8,97,378,0.10838,0.673797,0.975904,896,562
weather_rain_streaks,9,459,379,0.512849,0.675579,0.975904,896,562
weather_rain_streaks,10,97,380,0.10838,0.677362,0.971888,896,562
weather_snow_particles,1,462,379,0.516201,0.675579,1.0,896,562
weather_snow_particles,2,461,379,0.515084,0.675579,0.996032,896,562
weather_snow_particles,3,463,379,0.517318,0.675579,0.992064,896,562
weather_snow_particles,4,462,378,0.516201,0.673797,0.984127,896,562
weather_snow_particles,5,464,379,0.518436,0.675579,0.984127,896,562
weather_snow_particles,6,465,379,0.519553,0.675579,0.980159,896,562
weather_snow_particles,7,460,379,0.513966,0.675579,0.980159,896,562
weather_snow_particles,8,461,378,0.515084,0.673797,0.980159,896,562
weather_snow_particles,9,462,380,0.516201,0.677362,0.976191,896,562
weather_snow_particles,10,463,378,0.517318,0.673797,0.976191,896,562
weather_dust_haze,1,462,379,0.516201,0.675579,1.0,896,562
weather_dust_haze,2,461,379,0.515084,0.675579,1.0,896,562
weather_dust_haze,3,460,379,0.513966,0.675579,0.988048,896,562
weather_dust_haze,4,462,378,0.516201,0.673797,0.984064,896,562
weather_dust_haze,5,461,378,0.515084,0.673797,0.984064,896,562
weather_dust_haze,6,463,379,0.517318,0.675579,0.984064,896,562
weather_dust_haze,7,461,380,0.515084,0.677362,0.98008,896,562
weather_dust_haze,8,462,380,0.516201,0.677362,0.98008,896,562
weather_dust_haze,9,459,379,0.512849,0.675579,0.976096,896,562
weather_dust_haze,10,460,378,0.513966,0.673797,0.972112,896,562
illumination_sun_glare,1,461,379,0.515084,0.675579,1.0,896,562
illumination_sun_glare,2,462,379,0.516201,0.675579,1.0,896,562
illumination_sun_glare,3,463,379,0.517318,0.675579,0.996032,896,562
illumination_sun_glare,4,464,379,0.518436,0.675579,0.992064,896,562
illumination_sun_glare,5,462,378,0.516201,0.673797,0.988095,896,562
illumination_sun_glare,6,461,378,0.515084,0.673797,0.988095,896,562
illumination_sun_glare,7,465,379,0.519553,0.675579,0.988095,896,562
illumination_sun_glare,8,460,379,0.513966,0.675579,0.988095,896,562
illumination_sun_glare,9,461,380,0.515084,0.677362,0.984127,896,562
illumination_sun_glare,10,462,380,0.516201,0.677362,0.984127,896,562
illumination_night_low_light,1,713,154,0.796648,0.27451,1.0,896,562
illumination_night_low_light,2,714,154,0.797765,0.27451,1.0,896,562
illumination_night_low_light,3,712,154,0.795531,0.27451,0.972,896,562
illumination_night_low_light,4,715,154,0.798883,0.27451,0.972,896,562
illumination_night_low_light,5,714,155,0.797765,0.276292,0.968,896,562
illumination_night_low_light,6,713,155,0.796648,0.276292,0.968,896,562
illumination_night_low_light,7,713,153,0.796648,0.272727,0.964,896,562
illumination_night_low_light,8,714,153,0.797765,0.272727,0.964,896,562
illumination_night_low_light,9,712,155,0.795531,0.276292,0.94,896,562
illumination_night_low_light,10,715,153,0.798883,0.272727,0.94,896,562
camera_motion_blur,1,546,379,0.610056,0.675579,1.0,896,562
camera_motion_blur,2,545,379,0.608939,0.675579,0.996016,896,562
camera_motion_blur,3,546,378,0.610056,0.673797,0.988048,896,562
camera_motion_blur,4,545,378,0.608939,0.673797,0.984064,896,562
camera_motion_blur,5,547,379,0.611173,0.675579,0.98008,896,562
camera_motion_blur,6,544,379,0.607821,0.675579,0.972112,896,562
camera_motion_blur,7,546,377,0.610056,0.672014,0.972112,896,562
camera_motion_blur,8,545,377,0.608939,0.672014,0.968127,896,562
camera_motion_blur,9,547,378,0.611173,0.673797,0.968127,896,562
camera_motion_blur,10,546,380,0.610056,0.677362,0.964143,896,562
camera_defocus_blur,1,461,379,0.515084,0.675579,1.0,896,562
camera_defocus_blur,2,462,379,0.516201,0.675579,0.996032,896,562
camera_defocus_blur,3,460,379,0.513966,0.675579,0.988095,896,562
camera_defocus_blur,4,461,378,0.515084,0.673797,0.980159,896,562
camera_defocus_blur,5,462,378,0.516201,0.673797,0.976191,896,562
camera_defocus_blur,6,459,379,0.512849,0.675579,0.976191,896,562
camera_defocus_blur,7,463,379,0.517318,0.675579,0.976191,896,562
camera_defocus_blur,8,461,380,0.515084,0.677362,0.972222,896,562
camera_defocus_blur,9,460,378,0.513966,0.673797,0.972222,896,562
camera_defocus_blur,10,462,380,0.516201,0.677362,0.968254,896,562
camera_windshield_droplets,1,461,379,0.515084,0.675579,1.0,896,562
camera_windshield_droplets,2,462,379,0.516201,0.675579,0.996016,896,562
camera_windshield_droplets,3,461,378,0.515084,0.673797,0.984064,896,562
camera_windshield_droplets,4,461,380,0.515084,0.677362,0.984064,896,562
camera_windshield_droplets,5,462,380,0.516201,0.677362,0.98008,896,562
camera_windshield_droplets,6,460,379,0.513966,0.675579,0.98008,896,562
camera_windshield_droplets,7,462,378,0.516201,0.673797,0.98008,896,562
camera_windshield_droplets,8,463,379,0.517318,0.675579,0.976096,896,562
camera_windshield_droplets,9,459,379,0.512849,0.675579,0.964143,896,562
camera_windshield_droplets,10,460,378,0.513966,0.673797,0.964143,896,562
camera_jpeg_q45,1,489,351,0.546369,0.625668,1.0,896,562
camera_jpeg_q45,2,490,351,0.547486,0.625668,0.996,896,562
camera_jpeg_q45,3,488,351,0.545251,0.625668,0.98,896,562
camera_jpeg_q45,4,489,350,0.546369,0.623886,0.98,896,562
camera_jpeg_q45,5,490,350,0.547486,0.623886,0.976,896,562
camera_jpeg_q45,6,491,351,0.548603,0.625668,0.964,896,562
camera_jpeg_q45,7,488,350,0.545251,0.623886,0.964,896,562
camera_jpeg_q45,8,489,352,0.546369,0.627451,0.964,896,562
camera_jpeg_q45,9,490,352,0.547486,0.627451,0.96,896,562
camera_jpeg_q45,10,487,351,0.544134,0.625668,0.96,896,562
camera_resolution_drop_070,1,321,210,0.358659,0.374332,1.0,896,562
camera_resolution_drop_070,2,322,210,0.359777,0.374332,0.991968,896,562
camera_resolution_drop_070,3,321,211,0.358659,0.376114,0.983936,896,562
camera_resolution_drop_070,4,322,211,0.359777,0.376114,0.975904,896,562
camera_resolution_drop_070,5,320,210,0.357542,0.374332,0.975904,896,562
camera_resolution_drop_070,6,321,209,0.358659,0.372549,0.971888,896,562
camera_resolution_drop_070,7,322,209,0.359777,0.372549,0.963855,896,562
camera_resolution_drop_070,8,320,211,0.357542,0.376114,0.959839,896,562
camera_resolution_drop_070,9,323,210,0.360894,0.374332,0.955823,896,562
camera_resolution_drop_070,10,320,209,0.357542,0.372549,0.951807,896,562
camera_low_light_sensor_noise,1,602,379,0.672626,0.675579,1.0,896,562
camera_low_light_sensor_noise,2,602,378,0.672626,0.673797,0.996032,896,562
camera_low_light_sensor_noise,3,603,379,0.673743,0.675579,0.996032,896,562
camera_low_light_sensor_noise,4,603,378,0.673743,0.673797,0.992064,896,562
camera_low_light_sensor_noise,5,601,379,0.671508,0.675579,0.992064,896,562
camera_low_light_sensor_noise,6,604,379,0.67486,0.675579,0.988095,896,562
camera_low_light_sensor_noise,7,601,378,0.671508,0.673797,0.988095,896,562
camera_low_light_sensor_noise,8,602,491,0.672626,0.875223,0.984127,896,562
camera_low_light_sensor_noise,9,602,377,0.672626,0.672014,0.984127,896,562
camera_low_light_sensor_noise,10,604,378,0.67486,0.673797,0.984127,896,562
